file_name,title,object,event,property,scene,caption
messi_1,Lionel Messi kisses the World Cup trophy during the presentation ceremony.,Lionel Messi (soccer player) and the World Cup trophy.,Lionel Messi kissing the World Cup trophy during the presentation ceremony.,Emotional and celebratory gesture signifying victory and achievement.,"A moment of triumph and joy at a major sporting event, capturing the significance of winning the World Cup and the emotions involved in representing one's country on the global stage.","Object: Lionel Messi (soccer player) and the World Cup trophy. Events: Lionel Messi kissing the World Cup trophy during the presentation ceremony. Property: Emotional and celebratory gesture signifying victory and achievement. Scene: A moment of triumph and joy at a major sporting event, capturing the significance of winning the World Cup and the emotions involved in representing one's country on the global stage."
messi_2,Lionel Messi scores first 2018 World Cup goal for Argentina and celebrates it.,Lionel Messi.,"Scoring a goal, celebrating the goal.","Representing Argentina, wearing the team jersey, captain.","A soccer match during the 2018 World Cup, with fans in the background, Messi in an active pose showing excitement","Object: Lionel Messi. Events: Scoring a goal, celebrating the goal. Property: Representing Argentina, wearing the team jersey, captain. Scene: A soccer match during the 2018 World Cup, with fans in the background, Messi in an active pose showing excitement"
messi_3,"Lionel Messi didn’t start in his Friday debut for Inter Miami, but he providing a game-winning goal.",Lionel Messi.,"Scoring a game-winning goal, celebrating the goal.","Playing for Inter Miami, wearing a pink jersey, not starting the match.","A soccer match in the MLS, with fans and teammates in the background celebrating, Messi in a dynamic and joyful pose.","Object: Lionel Messi. Events: Scoring a game-winning goal, celebrating the goal. Property: Playing for Inter Miami, wearing a pink jersey, not starting the match. Scene: A soccer match in the MLS, with fans and teammates in the background celebrating, Messi in a dynamic and joyful pose."
messi_4,"Argentina's Lionel Messi celebrates after scoring during the World Cup quarterfinal soccer match between the Netherlands and Argentina, at the Lusail Stadium in Lusail, Qatar, Friday.",Lionel Messi.,Celebrating after scoring a goal.,"Representing Argentina, wearing the team jersey, captain.","A World Cup quarterfinal match at Lusail Stadium in Qatar, with a tense atmosphere after a goal was scored.","Object: Lionel Messi. Events: Celebrating after scoring a goal. Property: Representing Argentina, wearing the team jersey, captain. Scene: A World Cup quarterfinal match at Lusail Stadium in Qatar, with a tense atmosphere after a goal was scored."
messi_5,"LUSAIL CITY, QATAR – DECEMBER 18: Lionel Messi of Argentina scores the team’s first goal via a penalty during the FIFA World Cup Qatar 2022 Final match between Argentina and France at Lusail Stadium on December 18, 2022 in Lusail City, Qatar.","Lionel Messi, France players.",Scoring a goal via a penalty.,"Messi representing Argentina, wearing the team jersey, playing in the FIFA World Cup final, France players in defense.","FIFA World Cup final match at Lusail Stadium in Qatar, with Messi running to take the penalty kick and French players positioned defensively, creating a tense atmosphere during the critical moment of the game.","Object: Lionel Messi, France players. Events: Scoring a goal via a penalty. Property: Messi representing Argentina, wearing the team jersey, playing in the FIFA World Cup final, France players in defense. Scene: FIFA World Cup final match at Lusail Stadium in Qatar, with Messi running to take the penalty kick and French players positioned defensively, creating a tense atmosphere during the critical moment of the game."
messi_6,Argentina and Lionel Messi lift the World Cup trophy.,"Lionel Messi, Argentina players, World Cup trophy.","Lifting the World Cup trophy, celebrating victory.","Messi representing Argentina, wearing the team jersey, surrounded by teammates, the trophy symbolizing their win.","A celebratory moment after Argentina’s victory in the FIFA World Cup, with Messi in the center holding the trophy aloft, surrounded by joyous teammates and a festive atmosphere.","Object: Lionel Messi, Argentina players, World Cup trophy. Events: Lifting the World Cup trophy, celebrating victory. Property: Messi representing Argentina, wearing the team jersey, surrounded by teammates, the trophy symbolizing their win. Scene: A celebratory moment after Argentina’s victory in the FIFA World Cup, with Messi in the center holding the trophy aloft, surrounded by joyous teammates and a festive atmosphere."
messi_7,"Argentina's Lionel Messi, right, scores a goal passing France's goalkeeper Hugo Lloris during the World Cup final soccer match between Argentina and France at the Lusail Stadium in Lusail, Qatar, Sunday, Dec. 18, 2022.","Lionel Messi, Hugo Lloris (France goalkeeper), France player.","Scoring a goal, attempting to block a shot.","Messi representing Argentina, in the team jersey. Lloris representing France, in goalkeeper attire.","FIFA World Cup final match at Lusail Stadium in Qatar, with Messi successfully scoring a goal while evading goalkeeper Hugo Lloris, as a France defender is also present in the frame, contributing to the intense moment of the game.","Object: Lionel Messi, Hugo Lloris (France goalkeeper), France player. Events: Scoring a goal, attempting to block a shot. Property: Messi representing Argentina, in the team jersey. Lloris representing France, in goalkeeper attire. Scene: FIFA World Cup final match at Lusail Stadium in Qatar, with Messi successfully scoring a goal while evading goalkeeper Hugo Lloris, as a France defender is also present in the frame, contributing to the intense moment of the game."
messi_8,Lionel Messi gets past Croatia’s Josko Gvardiol at the touch line prior to delivering the assist to Julian Alvarez for Argentina’s third goal.,"Lionel Messi, Josko Gvardiol (Croatia player).","Getting past a defender, delivering an assist.","Messi representing Argentina, wearing the team jersey. Gvardiol representing Croatia, wearing a mask and team jersey.","A World Cup match featuring Argentina and Croatia, with Messi maneuvering past Gvardiol at the touchline in an intense play, set up for a crucial pass to Julian Alvarez for a goal, highlighting the competitive atmosphere of the game.","Object: Lionel Messi, Josko Gvardiol (Croatia player). Events: Getting past a defender, delivering an assist. Property: Messi representing Argentina, wearing the team jersey. Gvardiol representing Croatia, wearing a mask and team jersey. Scene: A World Cup match featuring Argentina and Croatia, with Messi maneuvering past Gvardiol at the touchline in an intense play, set up for a crucial pass to Julian Alvarez for a goal, highlighting the competitive atmosphere of the game."
messi_9,Lionel Messi struck a brilliank free-kick for Barcelona against Liverpool.,"Lionel Messi, Liverpool players, Liverpool goalkeeper.","Striking a free-kick, attempting to score.","Messi representing Barcelona, wearing the team jersey. Liverpool players in defense, goalkeeper diving.","A tense match between Barcelona and Liverpool, with Messi preparing to take a free-kick as the Liverpool defense and goalkeeper react, the stadium filled with fans, capturing the dramatic atmosphere of a high-stakes game.","Object: Lionel Messi, Liverpool players, Liverpool goalkeeper. Events: Striking a free-kick, attempting to score. Property: Messi representing Barcelona, wearing the team jersey. Liverpool players in defense, goalkeeper diving. Scene: A tense match between Barcelona and Liverpool, with Messi preparing to take a free-kick as the Liverpool defense and goalkeeper react, the stadium filled with fans, capturing the dramatic atmosphere of a high-stakes game."
messi_10,Lionel Messi after scoring Barcelona’s winning goal in the final minute against Real Madrid on Sunday. The teams are now tied atop the La Liga standings.,"Lionel Messi, Barcelona players, Real Madrid players.","Scoring a winning goal, celebrating the goal.","Messi representing Barcelona, wearing the team jersey. Barcelona teammates celebrating. Real Madrid players in a defensive position.","An intense El Clásico match between Barcelona and Real Madrid, with Messi celebrating after scoring a crucial goal in the final minute, the atmosphere is electric as the teams are tied in La Liga standings, with fans reacting to the dramatic moment.","Object: Lionel Messi, Barcelona players, Real Madrid players. Events: Scoring a winning goal, celebrating the goal. Property: Messi representing Barcelona, wearing the team jersey. Barcelona teammates celebrating. Real Madrid players in a defensive position. Scene: An intense El Clásico match between Barcelona and Real Madrid, with Messi celebrating after scoring a crucial goal in the final minute, the atmosphere is electric as the teams are tied in La Liga standings, with fans reacting to the dramatic moment."
messi_11,Messi Literally DANCED with €1.Billion Real Madrid Team.,"Lionel Messi, Real Madrid players.","Dribbling, maneuvering around multiple defenders.","Messi representing Barcelona, wearing the team jersey. Real Madrid players in defense, collectively valued at approximately €1 billion.","An El Clásico match between Barcelona and Real Madrid, with Messi skillfully dribbling past several Real Madrid defenders, showcasing his talent against a team worth around €1 billion, highlighting the intense rivalry and high stakes surrounding this iconic matchup.","Object: Lionel Messi, Real Madrid players. Events: Dribbling, maneuvering around multiple defenders. Property: Messi representing Barcelona, wearing the team jersey. Real Madrid players in defense, collectively valued at approximately €1 billion. Scene: An El Clásico match between Barcelona and Real Madrid, with Messi skillfully dribbling past several Real Madrid defenders, showcasing his talent against a team worth around €1 billion, highlighting the intense rivalry and high stakes surrounding this iconic matchup."
messi_12,"Barcelona´s Argentinian forward Lionel Messi (L) heads the ball to score against Manchester United's Dutch goalkeeper Edwin van der Sar during the final of the UEFA football Champions League on May 27, 2009 at the Olympic Stadium in Rome.","Lionel Messi, Manchester United players.",Heading the ball to score a goal.,"Messi representing Barcelona, wearing the team jersey. Van der Sar as the goalkeeper, attempting to defend.","UEFA Champions League final match on May 27, 2009, at the Olympic Stadium in Rome, with Messi leaping to head the ball and score a crucial goal against Manchester United, capturing the excitement and intensity of a high-stakes championship game.","Object: Lionel Messi, Manchester United players. Events: Heading the ball to score a goal. Property: Messi representing Barcelona, wearing the team jersey. Van der Sar as the goalkeeper, attempting to defend. Scene: UEFA Champions League final match on May 27, 2009, at the Olympic Stadium in Rome, with Messi leaping to head the ball and score a crucial goal against Manchester United, capturing the excitement and intensity of a high-stakes championship game."
messi_13,The day Paul Scholes realised Lionel Messi was on a totally different planet in 2008.,"Lionel Messi, Paul Scholes (Manchester United player).","Dribbling, showcasing skill.","Messi representing Barcelona, wearing the team jersey. Scholes wearing a Manchester United jersey.","A Champions League match in 2008, with Messi displaying his exceptional dribbling skills while Scholes attempts to defend, highlighting the moment when Scholes recognized Messi's extraordinary talent and ability, emphasizing the competitive atmosphere between the two teams.","Object: Lionel Messi, Paul Scholes (Manchester United player). Events: Dribbling, showcasing skill. Property: Messi representing Barcelona, wearing the team jersey. Scholes wearing a Manchester United jersey. Scene: A Champions League match in 2008, with Messi displaying his exceptional dribbling skills while Scholes attempts to defend, highlighting the moment when Scholes recognized Messi's extraordinary talent and ability, emphasizing the competitive atmosphere between the two teams."
messi_14,Lionel Messi Sending Casemiro into Oblivion.,"Lionel Messi, Casemiro (Real Madrid player).","Dribbling past an opponent, evading a tackle.","Messi representing Barcelona, wearing the team jersey. Casemiro representing Real Madrid, in defensive posture.","An El Clásico match between Barcelona and Real Madrid, with Messi skillfully maneuvering to get past Casemiro, illustrating his exceptional dribbling ability and leaving Casemiro off-balance, emphasizing the competitive rivalry and intensity of the game.","Object: Lionel Messi, Casemiro (Real Madrid player). Events: Dribbling past an opponent, evading a tackle. Property: Messi representing Barcelona, wearing the team jersey. Casemiro representing Real Madrid, in defensive posture. Scene: An El Clásico match between Barcelona and Real Madrid, with Messi skillfully maneuvering to get past Casemiro, illustrating his exceptional dribbling ability and leaving Casemiro off-balance, emphasizing the competitive rivalry and intensity of the game."
messi_15,Luka Modric pulls Lionel Messi’s shirt in the Copa del Rey match between Barcelona and Real Madrid at Camp Nou.,"Lionel Messi, Luka Modric (Real Madrid player), Casemiro (Real Madrid player).","Shirt-pulling, attempting to tackle.","Messi representing Barcelona, wearing the team jersey. Modric and Casemiro representing Real Madrid, in their team jerseys.","A Copa del Rey match between Barcelona and Real Madrid at Camp Nou, with Modric pulling Messi's shirt as he tries to defend, while Casemiro is also present in the frame, reflecting the intense rivalry and competitive nature of the game.","Object: Lionel Messi, Luka Modric (Real Madrid player), Casemiro (Real Madrid player). Events: Shirt-pulling, attempting to tackle. Property: Messi representing Barcelona, wearing the team jersey. Modric and Casemiro representing Real Madrid, in their team jerseys. Scene: A Copa del Rey match between Barcelona and Real Madrid at Camp Nou, with Modric pulling Messi's shirt as he tries to defend, while Casemiro is also present in the frame, reflecting the intense rivalry and competitive nature of the game."
cr7_1,"The veteran Portugal forward, Cristiano Ronaldo, threw himself to the ground theatrically to try to win a free-kick.",Cristiano Ronaldo (soccer player) and the opposing player (Ghanaian player).,Cristiano Ronaldo attempting to win a free-kick by throwing himself to the ground.,Theatrical dive by Cristiano Ronaldo.,"A soccer match, specifically a moment of play between Portugal and Ghana, taking place on a grassy field.","Object: Cristiano Ronaldo (soccer player) and the opposing player (Ghanaian player). Events: Cristiano Ronaldo attempting to win a free-kick by throwing himself to the ground. Property: Theatrical dive by Cristiano Ronaldo. Scene: A soccer match, specifically a moment of play between Portugal and Ghana, taking place on a grassy field."
cr7_2,"Despite his protestations, referee Radu Petrescu correctly booked Cristiano Ronaldo, 38, for his dive.",Cristiano Ronaldo (soccer player) and Radu Petrescu (referee).,Cristiano Ronaldo arguing with the referee after being booked for diving.,Booking (yellow card) given to Cristiano Ronaldo.,"A soccer match situation where a player is receiving a disciplinary action from the referee, possibly in a stadium setting.","Object: Cristiano Ronaldo (soccer player) and Radu Petrescu (referee). Events: Cristiano Ronaldo arguing with the referee after being booked for diving. Property: Booking (yellow card) given to Cristiano Ronaldo. Scene: A soccer match situation where a player is receiving a disciplinary action from the referee, possibly in a stadium setting."
cr7_3,Cristiano Ronaldo was red carded in the semifinal of the Saudi Super Cup.,"Cristiano Ronaldo (soccer player), teammates wearing yellow jerseys, and an opposing player in a blue jersey.",Cristiano Ronaldo receiving a red card during the Saudi Super Cup semifinal.,Red card shown to Cristiano Ronaldo.,"Tense moment in a soccer match, likely during a controversial play or foul, with players reacting on the field and spectators in the background.","Object: Cristiano Ronaldo (soccer player), teammates wearing yellow jerseys, and an opposing player in a blue jersey. Events: Cristiano Ronaldo receiving a red card during the Saudi Super Cup semifinal. Property: Red card shown to Cristiano Ronaldo. Scene: Tense moment in a soccer match, likely during a controversial play or foul, with players reacting on the field and spectators in the background."
cr7_4,Al Nassr's Cristiano Ronaldo is shown a red card after clashing with Al Hilal's Ali Al Bulayhi in the Saudi Super Cup semi-final.,"Cristiano Ronaldo (Al Nassr player), Ali Al Bulayhi (Al Hilal player), referee, and other players from both teams.",Cristiano Ronaldo being shown a red card after a clash with Ali Al Bulayhi.,Red card administered by the referee to Cristiano Ronaldo.,"A soccer match during the Saudi Super Cup semi-final, with intense player reactions, a referee making a decision, and an audience in the background observing the situation.","Object: Cristiano Ronaldo (Al Nassr player), Ali Al Bulayhi (Al Hilal player), referee, and other players from both teams. Events: Cristiano Ronaldo being shown a red card after a clash with Ali Al Bulayhi. Property: Red card administered by the referee to Cristiano Ronaldo. Scene: A soccer match during the Saudi Super Cup semi-final, with intense player reactions, a referee making a decision, and an audience in the background observing the situation."
cr7_5,"Ronaldo had kicked Curtis Jones on the floor during the first half of the match. Liverpool head coach, Jurgen Klopp, believed Manchester United forward, Cristiano Ronaldo, should have been sent off during his side’s Premier League 5-0 win against the Red Devils on Sunday.",Cristiano Ronaldo (Manchester United player) and Curtis Jones (Liverpool player).,Cristiano Ronaldo kicking Curtis Jones while he is on the ground.,Controversial foul committed by Cristiano Ronaldo.,"A Premier League match between Manchester United and Liverpool, with players on the field and spectators in the stands, indicating a competitive atmosphere.","Object: Cristiano Ronaldo (Manchester United player) and Curtis Jones (Liverpool player). Events: Cristiano Ronaldo kicking Curtis Jones while he is on the ground. Property: Controversial foul committed by Cristiano Ronaldo. Scene: A Premier League match between Manchester United and Liverpool, with players on the field and spectators in the stands, indicating a competitive atmosphere."
cr7_6,"Cristiano Ronaldo ducking in the wall at a free-kick as the opposition score again, is it?","Cristiano Ronaldo (Juventus player) and teammates forming a wall, opposing players, and the ball.","Cristiano Ronaldo ducking to avoid the ball during a free-kick taken by the opposition, resulting in a goal.",Defensive tactic employed by Cristiano Ronaldo (ducking) and a goal scored by the opposing team.,"A soccer match situation with a free-kick being taken, showcasing the defensive wall and the goal area, indicating high stakes in a competitive atmosphere.","Object: Cristiano Ronaldo (Juventus player) and teammates forming a wall, opposing players, and the ball. Events: Cristiano Ronaldo ducking to avoid the ball during a free-kick taken by the opposition, resulting in a goal. Property: Defensive tactic employed by Cristiano Ronaldo (ducking) and a goal scored by the opposing team. Scene: A soccer match situation with a free-kick being taken, showcasing the defensive wall and the goal area, indicating high stakes in a competitive atmosphere."
cr7_7,"When Cristiano Ronaldo denied Higuaín an almost certain goal. The pair, who could soon be team-mates once more at Juventus, were involved in this comic misunderstanding while playing together for Real Madrid against Osasuna in 2012.",Cristiano Ronaldo (Real Madrid player) and Gonzalo Higuaín (Real Madrid player).,Cristiano Ronaldo inadvertently blocking or denying Gonzalo Higuaín's goal-scoring attempt.,Misunderstanding between teammates leading to a comic situation.,"A soccer match during a game between Real Madrid and Osasuna, highlighting a moment of confusion and teamwork on the field, with a focus on the goal area and the players involved.","Object: Cristiano Ronaldo (Real Madrid player) and Gonzalo Higuaín (Real Madrid player). Events: Cristiano Ronaldo inadvertently blocking or denying Gonzalo Higuaín's goal-scoring attempt. Property: Misunderstanding between teammates leading to a comic situation. Scene: A soccer match during a game between Real Madrid and Osasuna, highlighting a moment of confusion and teamwork on the field, with a focus on the goal area and the players involved."
cr7_8,Watch Cristiano Ronaldo Earn Yellow Card For WWE-Inspired Headlock During Al Nassr's Loss To Al-Hilal.,Cristiano Ronaldo (Al Nassr player) and an opposing player from Al-Hilal.,"Cristiano Ronaldo performing a headlock maneuver, leading to a yellow card being issued.",Yellow card given for unsportsmanlike conduct (WWE-inspired headlock).,"A soccer match between Al Nassr and Al-Hilal, capturing a moment of physical confrontation between players on the field, with other players and possibly fans visible in the background.","Object: Cristiano Ronaldo (Al Nassr player) and an opposing player from Al-Hilal. Events: Cristiano Ronaldo performing a headlock maneuver, leading to a yellow card being issued. Property: Yellow card given for unsportsmanlike conduct (WWE-inspired headlock). Scene: A soccer match between Al Nassr and Al-Hilal, capturing a moment of physical confrontation between players on the field, with other players and possibly fans visible in the background."
cr7_9,Martin Dubravka makes feelings on Cristiano Ronaldo clear after ugly studs-up tackle.,Cristiano Ronaldo (Portuguese player) and Martin Dubravka (goalkeeper).,"Cristiano Ronaldo performing a studs-up tackle on Martin Dubravka, resulting in a confrontation.",Ugly tackle leading to a visible reaction from Martin Dubravka.,"A soccer match scenario, likely demonstrating a moment of physicality and tension between players, with the focus on the tackle and players on the ground, highlighting the impact of the interaction on the field.","Object: Cristiano Ronaldo (Portuguese player) and Martin Dubravka (goalkeeper). Events: Cristiano Ronaldo performing a studs-up tackle on Martin Dubravka, resulting in a confrontation. Property: Ugly tackle leading to a visible reaction from Martin Dubravka. Scene: A soccer match scenario, likely demonstrating a moment of physicality and tension between players, with the focus on the tackle and players on the ground, highlighting the impact of the interaction on the field."
